Autor,new_processed
@xavibailac180,saul si conoces ha alguien que fabrique pegatinas haz una reindinvicativa pero con toque gracioso y la pegas al memos luego tendra que sacarla a esto es por falta de regulacion ya que en otros casos se llama a la grua
@l.j.p7060,completamente de acuerdo saul
@rafaelgallegovaldivieso,llegar a un cargador ingeteam de iberdrola y estar un kia cargando enmedio de los dos aparcamientos en otra ocasion en el mismo cargador un coche termico no no somos mejores por ir en coche electrico somos los mismo en coche electrico patinete bicicleta andando
@FranciscoPerez-qe8uf,una verguenza
@antonioclavero8153,lo mismo pasa con las plazas de minusvalidos
@Chuffo,yo desinflo una rueda al menos el susto se lo lleva y a lo mejor estara atento para la proxima porque llamar a la grua es mision imposible
@adrianmartineznoguera1086,indignante
@anibal6996,es lamentable decirlo pero un gran porcentaje de los espanoles se pasan las normas por sus partes como regla general parece que les diese miedo cumplir con las reglas establecidas el que respeta es el pringao mientras el que incumple es el guay
@HTCSpainTV,tienes toda la razon y suave has sido no vale que digan que no se han dado cuenta porque las plazas para electricos encima tienes colores diferentes a las normales pero en el caso de los electricos que no han cargado les deseo que el karma les depare pronto quedarse tirados en carretera
@serafinfuentes629,solo hay egoistas que no piensan en los demas me pongo negro cuando veo coches aparcados en puntos de carga y son de combustion
@FPV-Drones,no se igual es que estan cargando por induccion me ha salido el video un ano mas tarde este finde paso a mirar es falta de cultura creo yo tengo electrico puedo aparcar ahi
@martosjose1709,la ou il y a de gene il ni a pas de plaisir
@enriquecarballo504,que tal un sensor que no son caros conectado al cargador y una vez que el coche aparca treinta segundos cuarenta y cinco no se si no enchufa una alarma
@enriquecarballo504,mas razon es imposible tener
@miguelvolt1977,la solucion es un pequeno rayono llevar un aerosol de color fluorescente lo mejor lo se por experiencia
@akinatron3500,la sopla
@jaimeguil1809,que verguenza hay que ser inutiles
@antoniogilcineasta4788,distraida pero si esta pintado en el suelo y en la paredlo que pasa que no quieren buscar aparcamientoesta vaciopues ahi lo pongocuando sea denunciable y se lo pueda llevar la gruaseguro que no lo aparcan ahi
@emigaspar,una buena pegatina que sea grande y que cueste de quitar en el parabrisas y creo que aprenderan
@chusky9640,una buena descarga donde yo me se les tenia que dar a esos getas por eso seguimos siendo un pais de pandereta por culpa de cuatro descerebrados que solo piensan en su egoismo
@aketzadiez1631,multa
@amadormendez8765,eres muy educadobien yo les mentiria su pinche madre que los pario
@tinochispita,pues si saul verguenza eso es como el vado de los garajes privados el dueno la duena se cree con derecho a poder estacionar en su vado vado que paga para que no estacione ningun vehiculo por la entrada y salida de su coche
@perroviejo7984,por favor tendria que poner un aviso sobre las consecuencias de visualizar el video llevo ya sin dormir varios diasque injusticia
@davidcanas1146,espero que dentro de poco la los quiten con grua
@byronseisseisseis732,ja ja ja lo tuyo es informarnos de carros ese es tu fuerte las injusticias sociales de tu cultura no tinene mayor importancia ya con la nuestra en nuestros propios lugares con eso es suficiente gracias por seguir con la informacion automotriz adelante saul
@larganza,esto es un mal endemico que se vive en espana bien sea en plazas para minusvalidos bien sea para electricos a la gente le suda la picha todo ahora bien no se te ocurra joderle el dia a un jeta de estos que te monta un pollo de tres pares de cojones como propuesta a esta cuestion supongo que habria que poner barreras de suelo accionables solamente por personas con coche hibrido enchufable o electrico la barrera solamente se bajaria al enchufar el coche en el wallbox habria que mirar como se podria hacer eso pero supongo que tecnologia hay para conseguirlo la cosa seria asi te acercas a la plaza para electrico te bajas enchufas al wallbox momento en que baja la barrera y aparcas es posible yo pienso que si y si no lo es habra que inventarlo porque si no
@jesuscapuchino7911,tienes toda la razon saul y si hay motivo y razon para estar molesto es momento de que ya empecemos hacer conciencia y en verdad empezar a molestarse por cosas que antes deciamos hay pa la otra esta bien pero no tenemos que ser mas conscientes y solamente con gente que hace ver errores o nos hace reconocer que estamos mal en algo es cuando puede empezar un proceso de autorreflexion y cambiar conductas gracias
@franciscomurillofernandez7994,tienes toda la razon saul y me parece correcto que saques la matricula de todos estos vehiculos es intolerable el poco civismo que hay
@ivanivan4904,toda la razon saul__y te lo dice un donostiarra__una verguenza_poco mas que anadir__bien dicho todo mi apoyo saulpoco mas que anadir un comportamiento de lo mas reprochable y el que no lo vea asi que se lo haga mirar
@jesushernandez-mn6qz,que es eso de termico
@JC-fi8xn,estas en espana que esperas saludos
@danireina8,aqui si que tendrian que poner multas y no en otras tonterias
@LordRodtan,he visto q muchos hibridos o electricos no enchufados yo creo q la gente se piensa que teniendo electrico esas plazas son para ellos no las ven como surtidores si no como plazas reservadas para electricos
@Camilos1110,uff que te digo sergio eso pasa constantemente en todos lados no hay una cultura de conciencia
@civertron9784,ahi se ve tambien que la mentalidad de los que llevan electricoshibridos enchufables tampoco es muy distinta en cantabria tambien pasa eso se creen que por ser electrico ya pueden dejar el coche aparcado en las zonas de recarga para la proxima lleva un cable de recarga mas largo y dejas tu tesla aparcado frente a ellos sin que puedan salir
@Pedro-vn1lq,creo que llevas la mascarilla al reves
@ogarbanz,jetas de campeonato ese esta bueno
@iosebae,a mi que un termico como lo llamas aparque me parece vergonzoso tanto como los que tienen el electrico y consideran que es su parcela para aparcar cuando quieran y posiblemente a menor precio o gratis ecologistas por interes o jetas y sinverguenzas como los otros solucion si tienes que recargar aparcas en frente y avisas al del parkin y cuando te diga que no puedes aparcar asi le dices que tienes que recargar y no hay plazas y que sancionen a esa gente
@groundman7431,si no fuera por estas practicas egoistascomo ibamos a saber que estamos en espana
@5653sonic,quisiera verlos en holanda hacer lo mismo multa
@adosfilos,es peor los que aparcan en minusvalidos sin serlos tengo un hijo en silla de ruedas y es un infierno ir a un centro comercial siempre estan ocupados la mayoria sin tarjeta de minusvalido te quejas pero como es un parquin privado la policia no puede hacer nada tengo una plaza propia de minusvalido con matricula pues cuando llamo a la urbana se lo lleva la grua y les ponen doscientos euros de multa pues encima me rayan el monovolumen adaptado y me pinchan la ruedas y tu saul te pones de mala hostia porque no puedes enchufar tu coche electrico pues imaginate como me pongo yo
@Ryorr,y que esperas estas en espana
@BlueHorsie,yo les pinchaba las ruedas a todos por egoistas
@johnearl6720,esto no es noruega saul es espana mas concretamente marca espana por eso hay quien no entiende que dejar un vehiculo cargando por las noches en un punto de carga en la calle es jugar a la ruleta rusa la preparacion no es solo en infraestructuras cuando nos comparamos como otros paises mas avanzados en movilidad electrica es en la cabeza tambien en el vado comunitario del edificio tenemos una lucha parecida hay una tienda enfrente de la salida que vende mucho y a diario te aparcan enfrente o en el mismo vado para pasarse cruzando la calle a comprar y no andar unos pasos de mas podrian dejarlo mal como hacen pero unos metros mas adelante y no fastidiar pero aqui somos asi buscamos la solucion mas rapida y mas comoda aunque fastidiemos al resto estamos a anos luz civica y culturalmente del resto de paises como noruega alemania suecia etc etc
@gallegorz8369,con un poquito de comprension y poniendose un poco en el lugar de la otra persona se solucionaban muchas cosas pero como en espana somos yo y yo y luego yo o maicon el ultimo asi nos va
@LappingMaster,el egoismo es un defecto muy extendido
@mesparcia2001,me he enterado del plan renting de tela puedes hacer un video al respecto gracias pd en espana cada uno va a su puta bolacomo no le aranes el coche o le pongas notitas la gente pasa
@tampoib0,yo cuando algun listo usa minusvalido sin serlo rajada de neumaticos y se acaba la historia ya no aparcan mas
@tampoib0,yo tengo una pierna amputada y si vieras la cantidad de gente que estaciona en minusvalido incluso en parking de minusvalido de supermercados y la policia dice que en los supermercados no puede intervenir porque son privados
@ekialdeko,bueno seguro que de entre los que estaban mal aparcados ninguno era de donostia los guipuzcoanos tenemos mas educacion que todo eso
@Dominguez1910,perdona mi ignorancia en el tema estoy interesandome en cambiar a lo electrico desde que te descubri pero el termino termico lo usas para referirte a los de combustion
@joshcala5073,os la sopla mas los de discapacitados y es mas importante
@DJRexOfficial,estoy flipando de la cantidad de puntospuestos de carga que hay y tantos ocupados por coches que no cargan o directamente no son ni electricos o hibridos y despues hay otros sitios que solo hay un par de puntos o tres de carga en un futuro cuando todos los vehiculos sean electricos a ver que gracia les hara a todos y a esos mismos que les de por aparcar en un puesto de carga cuando les pase lo mismo y los encuentren ocupados y les haga falta cargar a todos esos coches se los tenia que llevar la grua sobre todo a los que no son electricos o hibridos pd al principio cuando salieron me gustaban los hibridos ahora que se mas sobre ellos no me gustan es como ponerle una tirita a un corte que necesita puntos
@Mario-mi1pf,nunca faltan las lacras sociales ellos son los que tienen al mundo fregado
@multigames195xy8,yo ya sabia por donde iban los tiros antes de abrir el video porque llevo suscrito a este canal muchos anos jajajajaj sigue asi saul
@ramonhidalgo9250,que lamentable noticia saul parece mentira ver a usuarios de coches electricos y de combustion como confunden lo que realmente es una prioridad la recarga de la bateria en unos simples estacionamientos con ese nivel de conciencia es imposible avanzar
@UnissysTube,en mexico hay una iniciativa para que la gente que pueda probar con video u otras pruebas que alguien esta cometiendo una infraccion puede hacerse acreedor a el diez de el pago de la multa economica que deba pagar el infractor
@xavigonz6610,monta una recogida de firmas para que regularicen el estacionamiento en esos lugares ahora siendo privado poco se puede hacer
@borjarj5yt448,hola yo creo que podrias llamar a la policia y que o se lleven los coches o una multa
@pablogtm3871,q los termicos aparquen tiene delito pero q propietarios de electricos lo hagan es penoso si nosotros mismos no damos ejemplo no podemos pedir a los demas q lo hagan saludos
@domingobailon9191,buenas saul yo pienso que el propio parking deberia amonestar a esos propietarios de esos vehiculos cobrandole un extra por aparcar en zona indebida y asi se lo pensaran de volver a hacerlo
@pedrocasals,a lo mejor es en protesta por los precios de recarga de telpark de todas formas no deja de ser una ptd para todo aquel que si desee cargar
@nicolarubicondo1469,si no sacan una ley que proteja los parking para veiculos electricos la gente va a seguir haciendo la cagada multaaaa para todo aquel que haga eso punto y se acabo en lo que saquen una ley que afecte al bolsillo del infractor no lo dejaran de hacer formalicen una denuncia por escrito con fotos testigod etc etc ante las autoridades competentes y listo claro esperando que las autoridades competetes no hagan caso amiso
@juliangonzalez7679,pues imaginate cuando una persona con discapacidad funcional tambien tiene ocupada la plaza o varias plazas a la vez yo he llegado a ver un vehiculo ocupando el centro cuatro plazas y tambien se la sopla que el discapacitado no pueda usar ninguna de esas plazas
@frandavidramostorres4694,cada dia lo veo mas y salimos perjudicados todos
@a.s.5707,que que pasa que ya no existe la etica el respeto la ensenanza los modales que teniamos antes cuando se vivia muuucho mejor
@diegodig9,vaya puto asco y a medida que se vayan vendiendo mas coches electricos se llenara mas de gente ignorante que se piensa que los puntos de carga son aparcamientos privados para ellos doscientos cuarenta y siete
@martinsoler868,esto es lo que me pasa a mi y a las personas que tenemos una discapacidad y nos encontramos a los retrasados de turno que por no andar unos metros de mas aparcan en los reservados que tenemos y los que tenemos la movilidad reducida nos tenemos que joder
@francenteno5286,si ya lo dije yo en el telegram si nosotros mismos dejamos el coche electrico en pdrs sin cargar porque no lo van a hacer los de combustion hay que tener mucha mucha cara ojala un dia esa gente vaya apurada y haya uno de combustion aparcado en el pdr
@MiguelAngelCC,falta de educacion ya aprenderan cuando les toque cargar a ellos a base de hostias aprende el hombre
@luismialonsobrazuelo8466,este es uno de los motivos mas importantes por lo que de los dos coches que tenemos en casa el que voy a cambiar por un electrico es el pequeno para los kilometros cerca de casa para viajar seguire con el termico unos anos mas
@l.jimenez1362,la gente aparca donde no debe y sobre todo vota a quien no debe la degradacion social es cada vez mas evidente
@Perturlake,una buena pinchada de ruedas a cada uno termico o electrico que no cargue el proximo dia se lo pensarian antes de aparcar ahi
@irvin3300,yo sacaba a pasear los rotuladores blancos para cristal y dejaba los rotuladores secos y parecia que el coche que sale como buscando sitio y da la sensacion de que iba aparcar en el hueco que quedaba libre mientras estabas grabando ese trozo al final lo aparco
@sinzone4k,electricos jajajajaja
@javiergarcial1446,hay que hacerles un rayon a cada uno para que sepan lo que puede pasarles la proxima vez
@JAIMEMARTINEZ-zw4sb,a mi me paso que aparcando en murcia el ano pasado y el parking a rebosar el de seguridad me dojo que aparcara ya que normalmente no hay tantos coches a bateria le dije que si ponia una nota por si algun electrico queria aparcar y quitarlo y me dijo que si tenia que mover lo me lo dirian por megafonia
@oscargonzalezmunoz7344,un dia en donosti y le sale el temperamento del norte
@josemanuelblancespinosa8174,la gente va a su pa bola
@commendatore9001,muy indignante eso y quiza haya una solucion me explico habria que poner multas a eso por la policia local y ojo acorde pues con una legislacion estatal que de cobertura a la local para que no haya pillos que recurran la multa una legislacion de ello en los nuevos planes de transicion energetica y movilidad electrica haz por favor saul presion porque nosotros no podemos ya que estas en tu trabajo con ese lobby en una labor hacia lo electrico pues eso es un autentico y real lastre de los gordos si la administracion esta deseando de poner multas hasta por la linea azul para recaudar pues claro que va a querer por esto y ademas se posibilita la transicion al vehiculo electrico con los nuevos planes resulta muy indignante haz lobby por favor para que sea efectivo el viaje electrico por etica y por justicia
@mongolotube5512,estas cosas son normales en nuestra sociedad no me sorprende absolutamente nada
@nombreapellido9523,si un dia explota la humanidad no sere yo el q pida explicaciones
@ENRRRYKE1,hala saul te entiendo a la perfeccion cuando la gente en general se comporta asi y esto va a mas es decir sin educacion sin principios hasta incluso habra alguien que lo hara por joder cuando la justicia es injusta y los mandatarios unos aprovechados mentirosos e inutiles y esto es solo el principio tan solo hay que esperar a que estalle la olla expres donde todos estamos metidos con las imprevisibles consecuencias y esto solo es cuestion de tiempo no demasiado
@josejgopar,pues que comiencen a tomarse la justicia por vuestra mano jamas volveria a pasar
@anklund,igual en la manga club hotel principe felipe el sabado pasado lo dije en el hotel que habia llamado para avisar que querria cargar y me dijeron que esas plazas eran de tesla y ella no tenian nada que ver cancele la reserva
@josemanuelibernonvalero9636,no pasa nada la policia municipal debe de estar para algo es como cuando aparcan delante de mi vado y no puedo salir a trabajar por ejemplo llamo a la policia primero que quiten el coche y ya no es asunto mio solucion llamar a la policia lo mas didactico es que te toquen el bolsillo un saludo
@diegoantunez1616,tienes toda la razon
@comercialmiproveedorcomipr7147,auuuaaaaauuuuuuuu
@comercialmiproveedorcomipr7147,ponchales las llantas
@momas6668,lo tienen facil para solucionarlo esas plazas que tengan el doble o triple de tarifa si no estas cargando o si finaliza la carga y pasa x tiempo
@juancarlosrodriguezsanchez2793,la culpa es del pasotismo de las autoridades a la hora de denunciar a estos jetas lo saben y por eso actuan asi doscientos cada vez que lo hagan y veras tu como no habria tanto problema un abrazo crack
@MrRicobras,en la calle no pasa tanto pero en los parkings la gente se pasasu ombligo es mejor mas grande y mas redondo que el de los demasla educacion se ve en esas cosaspero como todos sabeisel coche se compra la educacion y el respeto por el projimo se tienen que mamar como echo de menos tiempos pasados a pesar de lo que digan muchos
@jcmurcia5728,welcome to spain
@Sergio-pb2jz,yo iria con un electrico a una gasolinera de cartera aparco frente el surtidor me voy compro lo que me haga falta voy al bano etc y el coche ahi en el surtidor esque es lo mismo
@davidandres5608,oye pachi que yo aparco aqui porque mi coche de combustion es mas chulo que el tuyo por mucho que sea electrico
@gaizkitapowers,eres un valiente saul pero seria mas util poner una queja en el libro de reclamaciones para que el vigilante o la empresa del parking adopte medidas la primera seria no contabilizar estas plazas cuando el resto estan ocupadas porque cuando entras en el parking solo vas a encontrar estas libres y por ahi seguro que no pasan los duenos del parking que estan para ganar dinero y por cierto te van a crujir como si fuera sotogrande estas avisado
@GTpeCesarBabau,saul si vivieras en peru todos los santos dias harias este tipos de videos enserio aqui hasta la autoridad se la sopla como diriamos aqui se la pasa por los saludos saul
@jaimeaudehernandez6338,es una verguenza pero la estupidez humana no tiene limites las plazas son para coches electricos que van a van a cargar y deben tener la consideracion de tomar el tiempo de recarga pues si se llena su auto lo mandatario es retirar el vehiculo a otro lugar y los termicos no tienen justificacion excelente queja constructiva lopez saludos desde republica dominicana
@albertocruz4732,quedate cuando no tengas lugar para enchufarlo los que tienen carros electricos son tan toxicos tanto que en mi ciudad he visto como le pinchan las llantas por aparcar de la misma forma cuando todavia quedan lugares para electricos como en este caso
@JoseFlores-ix4fb,multa y ya
@luisjo1179,doscientos veintiocho okey boomer
@irizar_pablo9246,si sigues por aqui pasate por el parking del centro comercial garbera unos minutos veras que con mas de mil plazas nuevas recien construidas creo que hay menos de diez para coches electricos y estan a unos cien metros de la entrada apostando por el futuro jejeje
@SoloTrading.101,a la gente le importa una mierda literalmente se rien de tu opinion multas cuando te tocan el bolsillo aprendes
@PabloInds,hace unos dias fui a un parking de los mas centricos de mi ciudad valencia y habria ochenta y nueve plazas electricas en la planta en la que estaba y todos menos uno de los coches aparcados ahi no eran electricos de hecho era mas chistoso el asunto porque uno era un coche de finales de los ochenta totalmente surrealista y aparte de la poca educacion de la gente el parking tenia sitios de sobra para los que no tenemos electrico no habia ninguna excusa para dejarlo ahi aparcado
@DJxBarretx,verguenza es la humanidad no aprendemos nada y nos destruimos tiempo perdido
@gandul1234,llama a la policia
@frangarcia5311,es simple no hay educacionni respetooooooo
@electricomusical2482,te entiendo perfectamente saul es que espana es asi cada uno va a su particular guerra y asi nos va el dia que seamos una sociedad con letras mayusculas donde no ocurran estas idioteces de la gente y mala educacion y robos de bicicletas etc entonces estaremos hablando de una sociedad avanzada como en dinamarca noruega etc espabilidad insensatos espabilidad que lo hacen por boicotear lo electrico igualmente con sus pezados de bmw tragones y contaminantes o bien para ocupar la plaza sin enchufar que sin sentidoun saludo mundo con sentido comun
@gmvxtv,pasa con eso con las mascarillas con tirar las cosas a la papeleracontenedor si trump es presidente de eeuu imaginaros el resto nos rodeamos de esa gente que vota a esa gentuza ergo blanco y en botella
@xavierbennasar6602,desgraciadamente saul this is spain ande yo caliente riase la gente y asi nos va en todo
@JULIAN-cl1il,que pensaran los propietarios de los electricos que no estan cargando cuando lleguen a un punto de carga y se encuentren lo que ellos estan haciendo
@ijaen,es lo que siempre digo hace falta mucha educacion y multas
@cct1941,toda la razon panda de incivicos
@SezarBlue,toda la razon a ver si avanza la legislacion y se empieza a sanciona y a retirar coches la grua
@carlosgonzalvezbarroso5860,es una pena asi nos va no hemos aprendido nada con el bicho jamas se me ocurriria estacionar ahi q verguenza en todos lados pasa igual se piensan q son plazas para aparcar los electricos primero yo y despues yo
@efigenerefigener9373,demostracion empirica de la calidad del genero humano por lo menos en estas latitudes
@1421pedro,yo estoy pensando en hacer estrellas para las ruedas me falta el material mas adecuado ideal
@andonidiaz4169,puedes denunciar la situacion en la inspeccion de la policia municipal en los bajos del ayto ellos tienen l potestad de denunciar al coche mal aparcado aunque sea en un parking receta y a correr
@iTomcat7733,pues estoy harto de ver eso en espana y no hablemos de los aparcamientos de minusvalidos
@JosebaEgia,cono podemos quedar para dar una vuelta con mi moto electrica la pena el tiempo
@Bindows,la verdad es que es vergonzoso lo que ocurre al ser parking privado no puedes llamar a la policia local pero si dar aviso al centro comercial y que den matricula por megafonia para que lo retiren o se le retira solo coches cargando no es un parking al uso ni para aparcar solo electricos cargar esa extrana palabra que hay en el diccionario y usamos para el movil
@rubend5000,eso es tan simple como poner unos cepos automaticos las barreras que impiden aparcar en una plaza y que se desbloqueen al activar previamente el cargador por si alguien no lo entiende llego con mi electrico veo una plaza libre bajo del coche activo el cargador y se baja la barrera aparco el coche y a cargar si el tio va de listo y solo lo activa para aparcar pero no recarga el coche tras un tiempo prudencial se le avisa via cargador yo via movil de que debe de conectar el cargador o marcharse y si lo ignora se empieza a contabilizar el monedero asociado a su cuenta asi cuando le llegue el aviso de la pasta que se esta dejando por haber hecho mal uso de la plaza para electricos se lo pensara dos veces antes de hacerlo se da por hecho que un termico no se le podria bajar la barrera por ausencia de cuenta en los surtidores electricos es obvio pero hay gente que no se entera y hay que dejarselo todo mascado
@franciscogaliano8110,pero ademas tienes ciento dos dislikes alucinante
@jorgeam6799,te sorprende
@santiago_s,que significa se la sopla en espana
@pacobelmonte,esto se arregla a host perdon a multas lo de los electricos sin enchufar de traca y su coche de falla valenciana
@i3enito1,les chupa un huevo todo habria que empezar a desinflar varias ruedas
@jacksmithlake5436,facil si vas con tu electrico a este parking ves que estan todos los sitios com carga ocupados y ves a uno termico en el sitio dejas el tuyo aparcado en doble fila para que no salga
@jhonatanrivas7795,es lo que pasa con los inchufable lo compran i nunca usan los electricos
@ruteromaniaco.4025,luego decian que a raiz del covid nos ibamos s convertir en una sociedad mas humana empatica y menos egoista vamos a todo lo contrario
@extrasuave5278,es que creen que es carga inalambrica como algunos telefonos moviles jajaja que descarados
@josegardunoserna1816,fantastico saul a ver si a esa coleccion de caraduras se les cae la cara de verguenza y por lo menos por lo menos no vuelven a tener la cara tan dura de hacer eso que asco de verdad entiendo tu indignacion y ya los que aparcan en plazas habilitadas para minusvalidos ya mejor no sigo que me caliento gentu y tal
@deccoding,van a tener que implementar un sistema de barreras electricas de acceso y que solo los coches electricos puedan habilitar
@BONOPAULCARLOSMIRALLES,asi es verguenza saulbienvenido al pais te tocar los cojones y joder al projimo no respetan las cargas de los electricos pero esos mismos jetas no respetan a los como bien dices te toca los cojpor cierto salu2 sigo tu canal
@carlostorrespaz5592,propongo una solucion deshincharle las cuatro ruedas ojo no pinchar deshinchar y le dejas una notita explicando que mas o menos es igual de agradable llegar y encontrarte las ruedas en el suelo que llegar y encontrarte un termico ocupando un punto de carga
@AlanParkerDJ,una pregunta saul pusiste esta circunstancia en conocimiento de los responsables del parking
@jlpena4597,a saul y a mi se le nota mas enojado al ver vehiculos electricos sin conectar saca la manguera y pon a cargar aunque sea al minimo amperaje con respecto a los termicos estan los listillos los hp y los que aun no saben que son esas cajas colgadas en la pared yo lo tengo muy claro si alguna vez me sucede alguna situacion asi con necesidad de carga aparco cruzado y cargo tranquilamente personalmente no sufro si me danan el coche
@nenegrande,no son termicos en realidad seria mas correcto llamarlos explosivos termicos serian por ejemplo si fuesen de vapor ya se que no has inventado tu el termino pero desde mi punto de vista siempre he visto raro ese nombre y me ha sonado mal el combustible se transforma en calor por su funcionamiento al igual que se calienta el motor de tu tesla debido a su funcionamiento tambien aunque en menor medida que un diesel por supuesto pero en ninguno de los dos el proposito es calentar nada una central electrica de carbon o de diesel por ejemplo si que es termica pero un coche no
@TonY_PR,menuda gentuza jeta no se si es impresion mia o cada vez sube mas el incivismo y la falta absoluta de respeto por lo demas aunque como han dicho en otros comentarios si no se respeta la propia vida a traves de posibles y negligentes contagios como demonios van a respetar estas cuestiones en fin no se va a solucionar como no sea a traves de sanciones multas o similar esta claro a mi particularmente me costara dar el paso por este tipo de cosas que pueden pasarte yo no llevaria nada bien algo asi y no querria hacer algo de lo que luego me arrepienta
@juanjoizquierdo5847,que esperabasesto es espanasi la gente no respeta ni las plazas de minusvalidos
@ivansc46,mientras hablabas he visto a mucha gente guardando la distancia de seguridad y sin mascarilla bienvenido a espana pais de incultos este ano y el que viene vas a ver espanoles por el mundo a cascoporros pero de los inteligentes porque esta plagado de imbeciles
@Cheewe228,vivo aqui saul a dos calles que puta impotencia el parking deberia estar obligado a denunciar o cualquiera de nosotros y venir una grua y adios coche
@santiagogonzalezgosalbo7465,multas no hay otra solucion
